H-Viewer,https://github.com/PureDark/H-Viewer.git,1171
hadoop,https://github.com/apache/hadoop.git,8888
hbase,https://github.com/apache/hbase.git,2741
helios,https://github.com/spotify/helios.git,1993
hibernate-orm,https://github.com/hibernate/hibernate-orm.git,3771
HikariCP,https://github.com/brettwooldridge/HikariCP.git,9762
honest-profiler,https://github.com/jvm-profiling-tools/honest-profiler.git,969
ignite,https://github.com/apache/ignite.git,2459
immutables,https://github.com/immutables/immutables.git,2365
intellij-erlang,https://github.com/ignatov/intellij-erlang.git,613
interview,https://github.com/mission-peace/interview.git,6496
interview,https://github.com/donbeave/interview.git,297
Intro-To-RxJava,https://github.com/Froussios/Intro-To-RxJava.git,1907
j2objc,https://github.com/google/j2objc.git,5432
jacoco,https://github.com/jacoco/jacoco.git,1620
java-repl,https://github.com/albertlatacz/java-repl.git,1361
javaparser,https://github.com/javaparser/javaparser.git,2415
jbpm,https://github.com/kiegroup/jbpm.git,916
JCTools,https://github.com/JCTools/JCTools.git,1876
JellyRefreshLayout,https://github.com/imallan/JellyRefreshLayout.git,639
jersey,https://github.com/jersey/jersey.git,2877
jetty.project,https://github.com/eclipse/jetty.project.git,2444
JFoenix,https://github.com/jfoenixadmin/JFoenix.git,3799
jgit,https://github.com/eclipse/jgit.git,722
JGroups,https://github.com/belaban/JGroups.git,715
jhipster-sample-app,https://github.com/jhipster/jhipster-sample-app.git,1030
jitwatch,https://github.com/AdoptOpenJDK/jitwatch.git,1678
jodd,https://github.com/oblac/jodd.git,2910
jOOL,https://github.com/jOOQ/jOOL.git,1447
jOOQ,https://github.com/jOOQ/jOOQ.git,3003
junit5,https://github.com/junit-team/junit5.git,3061
kaa,https://github.com/kaaproject/kaa.git,1087
keycloak,https://github.com/keycloak/keycloak.git,3715
keywhiz,https://github.com/square/keywhiz.git,2066
Koloboke,https://github.com/leventov/Koloboke.git,817
languagetool,https://github.com/languagetool-org/languagetool.git,2707
Lealone,https://github.com/lealone/Lealone.git,1064
learnrxjava,https://github.com/jhusain/learnrxjava.git,698
LeetCode-Sol-Res,https://github.com/FreeTymeKiyan/LeetCode-Sol-Res.git,1369
lettuce,https://github.com/wg/lettuce.git,214
lombok,https://github.com/rzwitserloot/lombok.git,7668
